dataset,classifier,seed,dF1@0.5,dF1@best,dPR-AUC_int,dPR-AUC_itr
ImprovMLCQ,RF,42,-0.0366,-0.0145,-0.0068,-0.0062
ImprovMLCQ,RF,1,-0.0218,0.0003,0.0027,0.0038
ImprovMLCQ,RF,7,-0.0257,0.0003,-0.0017,-0.0017
ImprovMLCQ,RF,13,-0.031,-0.005,-0.0025,-0.0032
ImprovMLCQ,RF,99,-0.0271,0.0022,0.0031,0.0034
ImprovMLCQ,HistGB,42,0.0242,0.0456,0.0106,0.0016
ImprovMLCQ,HistGB,1,0.0218,0.0528,0.0206,0.0111
ImprovMLCQ,HistGB,7,0.0253,0.0585,0.0107,-0.0018
ImprovMLCQ,HistGB,13,0.0193,0.0468,0.0129,0.0054
ImprovMLCQ,HistGB,99,0.0315,0.0589,0.0241,0.0105
Crowdsmelling,LogReg,42,-0.0002,0.0058,0.0263,0.0029
Crowdsmelling,LogReg,1,0.0105,0.0069,0.024,-0.0002
Crowdsmelling,LogReg,7,-0.0153,0.0109,0.0253,-0.0022
Crowdsmelling,LogReg,13,-0.0161,0.0037,0.0293,-0.0041
Crowdsmelling,LogReg,99,-0.0066,0.0041,0.025,0.0047
Crowdsmelling,LinearSVC,42,-0.0061,0.0045,0.0203,0.0057
Crowdsmelling,LinearSVC,1,0.0047,0.0061,0.0248,0.0032
Crowdsmelling,LinearSVC,7,-0.0181,0.0107,0.0212,-0.0024
Crowdsmelling,LinearSVC,13,-0.0156,0.0049,0.032,-0.0022
Crowdsmelling,LinearSVC,99,-0.0058,0.003,0.0267,0.0089
Crowdsmelling,RF,42,-0.0335,-0.0004,0.0051,0.0064
Crowdsmelling,RF,1,-0.0249,-0.001,-0.0008,0.0006
Crowdsmelling,RF,7,-0.0347,0.0039,0.0028,0.004
Crowdsmelling,RF,13,-0.0477,0.0011,-0.003,-0.0045
Crowdsmelling,RF,99,-0.0308,-0.0009,-0.0008,-0.0003
Crowdsmelling,HistGB,42,-0.026,-0.0002,-0.0008,0.0007
Crowdsmelling,HistGB,1,-0.0273,0.0028,0.0031,0.0051
Crowdsmelling,HistGB,7,-0.0366,0.003,0.0005,-0.0015
Crowdsmelling,HistGB,13,-0.0437,-0.0016,-0.0028,-0.0016
Crowdsmelling,HistGB,99,-0.0356,-0.0036,0.003,0.0031
SmellyCode++,LogReg,42,0.0409,0.0287,0.0104,0.0004
SmellyCode++,LogReg,1,0.0482,0.0329,0.0156,-0.0021
SmellyCode++,LogReg,7,0.0584,0.0448,0.0293,-0.0021
SmellyCode++,LogReg,13,0.0489,0.0477,0.0182,-0.0017
SmellyCode++,LogReg,99,0.052,0.0392,0.0176,-0.0046
SmellyCode++,LinearSVC,42,0.0553,0.0456,0.0298,0.0007
SmellyCode++,LinearSVC,1,0.0572,0.0578,0.0302,-0.003
SmellyCode++,LinearSVC,7,0.0606,0.0553,0.0326,-0.0002
SmellyCode++,LinearSVC,13,0.0555,0.0691,0.0335,-0.0004
SmellyCode++,LinearSVC,99,0.0532,0.0526,0.0231,-0.0016
SmellyCode++,RF,42,-0.0035,-0.0006,-0.0089,0.0005
SmellyCode++,RF,1,-0.0013,-0.0053,-0.0201,-0.0102
SmellyCode++,RF,7,-0.006,-0.0086,-0.0065,0.0008
SmellyCode++,RF,13,-0.0035,-0.0231,-0.0162,-0.0036
SmellyCode++,RF,99,-0.0007,-0.017,-0.0154,-0.0024
SmellyCode++,HistGB,42,0.0249,0.0057,0.0055,0.0059
SmellyCode++,HistGB,1,0.0282,-0.0014,0.0009,0.0039
SmellyCode++,HistGB,7,0.0321,-0.009,-0.0024,0.004
SmellyCode++,HistGB,13,0.0173,-0.0061,-0.0131,-0.0021
SmellyCode++,HistGB,99,0.0161,-0.0051,-0.0035,0.0054
ml-Codesmell,LogReg,42,0.3223,0.3097,0.4836,0.0029
ml-Codesmell,LogReg,1,0.301,0.2831,0.4739,-0.0059
ml-Codesmell,LogReg,7,0.3153,0.306,0.4903,0.0023
ml-Codesmell,LogReg,13,0.3087,0.3063,0.4782,-0.004
ml-Codesmell,LogReg,99,0.3073,0.282,0.4686,0.0062
ml-Codesmell,LinearSVC,42,0.4382,0.285,0.4238,-0.0038
ml-Codesmell,LinearSVC,1,0.4607,0.3178,0.4593,0.0014
ml-Codesmell,LinearSVC,7,0.4308,0.2807,0.4175,-0.0026
ml-Codesmell,LinearSVC,13,0.3919,0.2815,0.4408,-0.0153
ml-Codesmell,LinearSVC,99,0.4564,0.3014,0.4284,-0.0012
ml-Codesmell,RF,42,0.0274,0.0068,0.0038,0.0003
ml-Codesmell,RF,1,0.0234,0.0067,0.0013,0.0001
ml-Codesmell,RF,7,0.0273,0.0011,0.0003,0.0002
ml-Codesmell,RF,13,0.0313,0.0057,0.001,0.0
ml-Codesmell,RF,99,0.0148,0.0055,0.0011,0.0009
ml-Codesmell,HistGB,42,0.0002,-0.0011,-0.0005,-0.0007
ml-Codesmell,HistGB,1,0.0038,0.0002,-0.0,0.0001
ml-Codesmell,HistGB,7,0.0014,0.0003,0.0,0.0
ml-Codesmell,HistGB,13,0.0029,0.0027,0.0005,-0.0
ml-Codesmell,HistGB,99,0.0033,0.0007,0.0002,0.0002
