dataset,classifier,rate,seed,gap_intercept
Crowdsmelling,LogReg,0.2,13,
Crowdsmelling,LogReg,0.2,99,
segment,LogReg,0.1,7,0.7435
Crowdsmelling,LogReg,0.33,42,0.0611
segment,LogReg,0.1,13,0.7437
Crowdsmelling,LogReg,0.33,1,0.0026
segment,LogReg,0.1,99,0.7437
Crowdsmelling,LogReg,0.33,7,-0.0262
segment,LogReg,0.2,42,0.6861
Crowdsmelling,LogReg,0.33,13,-0.0096
segment,LogReg,0.2,1,0.6873
Crowdsmelling,LogReg,0.33,99,0.0178
Crowdsmelling,RF,0.05,42,
Crowdsmelling,RF,0.05,1,
Crowdsmelling,RF,0.05,7,
Crowdsmelling,RF,0.05,13,
Crowdsmelling,RF,0.05,99,
Crowdsmelling,RF,0.1,42,
Crowdsmelling,RF,0.1,1,
Crowdsmelling,RF,0.1,7,
Crowdsmelling,RF,0.1,13,
Crowdsmelling,RF,0.1,99,
Crowdsmelling,RF,0.2,42,
Crowdsmelling,RF,0.2,1,
Crowdsmelling,RF,0.2,7,
Crowdsmelling,RF,0.2,13,
Crowdsmelling,RF,0.2,99,
segment,LogReg,0.2,7,0.6869
segment,LogReg,0.2,13,0.6808
Crowdsmelling,RF,0.33,42,-0.0094
segment,LogReg,0.2,99,0.6896
segment,LogReg,0.33,42,0.5984
Crowdsmelling,RF,0.33,1,-0.0115
segment,LogReg,0.33,1,0.6017
segment,LogReg,0.33,7,0.5763
segment,LogReg,0.33,13,0.5892
Crowdsmelling,RF,0.33,7,0.0106
segment,LogReg,0.33,99,0.585
Crowdsmelling,RF,0.33,13,-0.0047
Crowdsmelling,RF,0.33,99,0.0114
segment,RF,0.05,42,0.0132
SmellyCode++,LogReg,0.05,42,0.0195
segment,RF,0.05,1,0.0177
SmellyCode++,LogReg,0.05,1,0.0229
segment,RF,0.05,7,0.0113
SmellyCode++,LogReg,0.05,7,0.028
segment,RF,0.05,13,0.0121
SmellyCode++,LogReg,0.05,13,0.0327
SmellyCode++,LogReg,0.05,99,0.021
segment,RF,0.05,99,0.01
SmellyCode++,LogReg,0.1,42,0.0485
segment,RF,0.1,42,0.0025
SmellyCode++,LogReg,0.1,1,0.0684
SmellyCode++,LogReg,0.1,7,0.0549
segment,RF,0.1,1,0.0048
SmellyCode++,LogReg,0.1,13,0.0393
segment,RF,0.1,7,0.0005
SmellyCode++,LogReg,0.1,99,0.0309
SmellyCode++,LogReg,0.2,42,0.0279
segment,RF,0.1,13,0.002
SmellyCode++,LogReg,0.2,1,0.0827
SmellyCode++,LogReg,0.2,7,0.0846
SmellyCode++,LogReg,0.2,13,0.0345
segment,RF,0.1,99,0.0046
SmellyCode++,LogReg,0.2,99,0.0297
SmellyCode++,LogReg,0.33,42,0.1393
segment,RF,0.2,42,0.0018
SmellyCode++,LogReg,0.33,1,0.0513
SmellyCode++,LogReg,0.33,7,0.093
SmellyCode++,LogReg,0.33,13,0.0861
segment,RF,0.2,1,0.0003
SmellyCode++,LogReg,0.33,99,0.0686
segment,RF,0.2,7,0.0018
SmellyCode++,RF,0.05,42,-0.0097
segment,RF,0.2,13,0.0008
SmellyCode++,RF,0.05,1,-0.0199
segment,RF,0.2,99,0.0014
segment,RF,0.33,42,0.0013
SmellyCode++,RF,0.05,7,-0.0122
segment,RF,0.33,1,0.0005
SmellyCode++,RF,0.05,13,-0.024
segment,RF,0.33,7,0.0013
SmellyCode++,RF,0.05,99,-0.0179
segment,RF,0.33,13,0.0015
segment,RF,0.33,99,0.0012
SmellyCode++,RF,0.1,42,-0.0199
vehicle,LogReg,0.05,42,0.4673
vehicle,LogReg,0.05,1,0.457
vehicle,LogReg,0.05,7,0.4823
SmellyCode++,RF,0.1,1,-0.0301
vehicle,LogReg,0.05,13,0.4863
vehicle,LogReg,0.05,99,0.5155
vehicle,LogReg,0.1,42,0.5607
vehicle,LogReg,0.1,1,0.5277
SmellyCode++,RF,0.1,7,-0.0203
vehicle,LogReg,0.1,7,0.5582
vehicle,LogReg,0.1,13,0.5378
vehicle,LogReg,0.1,99,0.5279
SmellyCode++,RF,0.1,13,-0.0187
vehicle,LogReg,0.2,42,0.561
vehicle,LogReg,0.2,1,0.5364
vehicle,LogReg,0.2,7,0.5571
vehicle,LogReg,0.2,13,0.5601
SmellyCode++,RF,0.1,99,-0.0302
vehicle,LogReg,0.2,99,0.5621
vehicle,LogReg,0.33,42,0.5191
vehicle,LogReg,0.33,1,0.5292
vehicle,LogReg,0.33,7,0.5363
SmellyCode++,RF,0.2,42,-0.0133
vehicle,LogReg,0.33,13,0.5237
vehicle,LogReg,0.33,99,0.5269
vehicle,RF,0.05,42,0.3446
SmellyCode++,RF,0.2,1,-0.0294
vehicle,RF,0.05,1,0.3405
SmellyCode++,RF,0.2,7,-0.0108
vehicle,RF,0.05,7,0.385
vehicle,RF,0.05,13,0.301
SmellyCode++,RF,0.2,13,-0.0211
vehicle,RF,0.05,99,0.382
SmellyCode++,RF,0.2,99,-0.0273
vehicle,RF,0.1,42,0.2256
vehicle,RF,0.1,1,0.1696
SmellyCode++,RF,0.33,42,-0.0076
vehicle,RF,0.1,7,0.1826
SmellyCode++,RF,0.33,1,-0.0116
vehicle,RF,0.1,13,0.2086
vehicle,RF,0.1,99,0.2355
SmellyCode++,RF,0.33,7,-0.0199
vehicle,RF,0.2,42,0.1321
SmellyCode++,RF,0.33,13,-0.0116
vehicle,RF,0.2,1,0.1176
vehicle,RF,0.2,7,0.1413
SmellyCode++,RF,0.33,99,-0.0226
vehicle,RF,0.2,13,0.1445
ml-Codesmell,LogReg,0.05,42,0.4826
vehicle,RF,0.2,99,0.1388
ml-Codesmell,LogReg,0.05,1,0.4693
ml-Codesmell,LogReg,0.05,7,0.4386
vehicle,RF,0.33,42,0.1156
ml-Codesmell,LogReg,0.05,13,0.4586
vehicle,RF,0.33,1,0.1216
ml-Codesmell,LogReg,0.05,99,0.4518
vehicle,RF,0.33,7,0.1218
ml-Codesmell,LogReg,0.1,42,0.3301
ml-Codesmell,LogReg,0.1,1,0.3215
vehicle,RF,0.33,13,0.1077
ml-Codesmell,LogReg,0.1,7,0.3238
vehicle,RF,0.33,99,0.1259
ml-Codesmell,LogReg,0.1,13,0.2972
ml-Codesmell,LogReg,0.1,99,0.3408
letter,LogReg,0.05,42,0.4938
ml-Codesmell,LogReg,0.2,42,0.1754
ml-Codesmell,LogReg,0.2,1,0.2088
ml-Codesmell,LogReg,0.2,7,0.1903
letter,LogReg,0.05,1,0.5149
ml-Codesmell,LogReg,0.2,13,0.167
ml-Codesmell,LogReg,0.2,99,0.1754
letter,LogReg,0.05,7,0.4966
ml-Codesmell,LogReg,0.33,42,0.1067
ml-Codesmell,LogReg,0.33,1,0.1002
letter,LogReg,0.05,13,0.4964
ml-Codesmell,LogReg,0.33,7,0.1006
ml-Codesmell,LogReg,0.33,13,0.1114
ml-Codesmell,LogReg,0.33,99,0.0885
letter,LogReg,0.05,99,0.5099
letter,LogReg,0.1,42,0.5515
letter,LogReg,0.1,1,0.5742
letter,LogReg,0.1,7,0.5493
ml-Codesmell,RF,0.05,42,0.0047
letter,LogReg,0.1,13,0.5612
letter,LogReg,0.1,99,0.5594
letter,LogReg,0.2,42,0.5545
letter,LogReg,0.2,1,0.5634
letter,LogReg,0.2,7,0.5731
ml-Codesmell,RF,0.05,1,0.0045
letter,LogReg,0.2,13,0.5648
letter,LogReg,0.2,99,0.5601
letter,LogReg,0.33,42,
letter,LogReg,0.33,1,0.2953
letter,LogReg,0.33,7,0.2963
letter,LogReg,0.33,13,0.0605
letter,LogReg,0.33,99,0.3792
ml-Codesmell,RF,0.05,7,0.001
ml-Codesmell,RF,0.05,13,0.0014
ml-Codesmell,RF,0.05,99,0.0012
ml-Codesmell,RF,0.1,42,0.0017
ml-Codesmell,RF,0.1,1,0.0001
letter,RF,0.05,42,0.0649
ml-Codesmell,RF,0.1,7,0.002
ml-Codesmell,RF,0.1,13,0.0026
ml-Codesmell,RF,0.1,99,0.004
ml-Codesmell,RF,0.2,42,0.0002
ml-Codesmell,RF,0.2,1,0.0005
letter,RF,0.05,1,0.0649
ml-Codesmell,RF,0.2,7,0.0004
ml-Codesmell,RF,0.2,13,0.0007
ml-Codesmell,RF,0.2,99,0.0005
ml-Codesmell,RF,0.33,42,0.0025
ml-Codesmell,RF,0.33,1,0.0003
letter,RF,0.05,7,0.0577
ml-Codesmell,RF,0.33,7,0.0006
ml-Codesmell,RF,0.33,13,0.0001
ml-Codesmell,RF,0.33,99,0.0018
digits,LogReg,0.05,42,0.896
digits,LogReg,0.05,1,0.8911
digits,LogReg,0.05,7,0.8933
letter,RF,0.05,13,0.0593
digits,LogReg,0.05,13,0.8893
digits,LogReg,0.05,99,0.8958
digits,LogReg,0.1,42,0.8862
digits,LogReg,0.1,1,0.8843
digits,LogReg,0.1,7,0.8858
digits,LogReg,0.1,13,0.8867
digits,LogReg,0.1,99,0.8827
digits,LogReg,0.2,42,0.7947
letter,RF,0.05,99,0.0435
digits,LogReg,0.2,1,0.7944
digits,LogReg,0.2,7,0.7977
digits,LogReg,0.2,13,0.8014
digits,LogReg,0.2,99,0.794
digits,LogReg,0.33,42,0.6674
digits,LogReg,0.33,1,0.6823
digits,LogReg,0.33,7,0.6655
digits,LogReg,0.33,13,0.6697
digits,LogReg,0.33,99,0.665
letter,RF,0.1,42,0.0783
digits,RF,0.05,42,0.1285
digits,RF,0.05,1,0.127
letter,RF,0.1,1,0.0682
digits,RF,0.05,7,0.1423
digits,RF,0.05,13,0.1396
letter,RF,0.1,7,0.0645
digits,RF,0.05,99,0.1261
digits,RF,0.1,42,0.0253
letter,RF,0.1,13,0.0923
digits,RF,0.1,1,0.0274
digits,RF,0.1,7,0.0273
digits,RF,0.1,13,0.0242
letter,RF,0.1,99,0.0865
digits,RF,0.1,99,0.0297
digits,RF,0.2,42,0.0354
letter,RF,0.2,42,0.087
digits,RF,0.2,1,0.0462
digits,RF,0.2,7,0.0329
letter,RF,0.2,1,0.0958
digits,RF,0.2,13,0.0387
digits,RF,0.2,99,0.0349
letter,RF,0.2,7,0.0861
digits,RF,0.33,42,0.0421
digits,RF,0.33,1,0.0361
digits,RF,0.33,7,0.0421
letter,RF,0.2,13,0.1084
digits,RF,0.33,13,0.0406
digits,RF,0.33,99,0.0434
segment,LogReg,0.05,42,0.7498
segment,LogReg,0.05,1,0.7315
segment,LogReg,0.05,7,0.7483
letter,RF,0.2,99,0.0855
letter,RF,0.33,42,
segment,LogReg,0.05,13,0.7474
segment,LogReg,0.05,99,0.7773
segment,LogReg,0.1,42,0.7415
letter,RF,0.33,1,0.0814
segment,LogReg,0.1,1,0.7398
segment,LogReg,0.1,7,0.7435
segment,LogReg,0.1,13,0.7437
segment,LogReg,0.1,99,0.7437
letter,RF,0.33,7,0.0678
segment,LogReg,0.2,42,0.6861
segment,LogReg,0.2,1,0.6873
segment,LogReg,0.2,7,0.6869
letter,RF,0.33,13,0.0367
segment,LogReg,0.2,13,0.6808
segment,LogReg,0.2,99,0.6896
segment,LogReg,0.33,42,0.5984
segment,LogReg,0.33,1,0.6017
letter,RF,0.33,99,0.0401
segment,LogReg,0.33,7,0.5763
segment,LogReg,0.33,13,0.5892
segment,LogReg,0.33,99,0.585
segment,RF,0.05,42,0.0132
segment,RF,0.05,1,0.0177
segment,RF,0.05,7,0.0113
segment,RF,0.05,13,0.0121
segment,RF,0.05,99,0.01
segment,RF,0.1,42,0.0025
segment,RF,0.1,1,0.0048
segment,RF,0.1,7,0.0005
segment,RF,0.1,13,0.002
segment,RF,0.1,99,0.0046
segment,RF,0.2,42,0.0018
segment,RF,0.2,1,0.0003
segment,RF,0.2,7,0.0018
segment,RF,0.2,13,0.0008
segment,RF,0.2,99,0.0014
segment,RF,0.33,42,0.0013
segment,RF,0.33,1,0.0005
segment,RF,0.33,7,0.0013
segment,RF,0.33,13,0.0015
segment,RF,0.33,99,0.0012
vehicle,LogReg,0.05,42,0.4673
vehicle,LogReg,0.05,1,0.457
vehicle,LogReg,0.05,7,0.4823
vehicle,LogReg,0.05,13,0.4863
vehicle,LogReg,0.05,99,0.5155
vehicle,LogReg,0.1,42,0.5607
vehicle,LogReg,0.1,1,0.5277
vehicle,LogReg,0.1,7,0.5582
vehicle,LogReg,0.1,13,0.5378
vehicle,LogReg,0.1,99,0.5279
vehicle,LogReg,0.2,42,0.561
vehicle,LogReg,0.2,1,0.5364
vehicle,LogReg,0.2,7,0.5571
vehicle,LogReg,0.2,13,0.5601
vehicle,LogReg,0.2,99,0.5621
vehicle,LogReg,0.33,42,0.5191
vehicle,LogReg,0.33,1,0.5292
vehicle,LogReg,0.33,7,0.5363
vehicle,LogReg,0.33,13,0.5237
vehicle,LogReg,0.33,99,0.5269
vehicle,RF,0.05,42,0.3446
vehicle,RF,0.05,1,0.3405
vehicle,RF,0.05,7,0.385
vehicle,RF,0.05,13,0.301
vehicle,RF,0.05,99,0.382
vehicle,RF,0.1,42,0.2256
vehicle,RF,0.1,1,0.1696
vehicle,RF,0.1,7,0.1826
vehicle,RF,0.1,13,0.2086
vehicle,RF,0.1,99,0.2355
vehicle,RF,0.2,42,0.1321
vehicle,RF,0.2,1,0.1176
vehicle,RF,0.2,7,0.1413
vehicle,RF,0.2,13,0.1445
vehicle,RF,0.2,99,0.1388
vehicle,RF,0.33,42,0.1156
vehicle,RF,0.33,1,0.1216
vehicle,RF,0.33,7,0.1218
vehicle,RF,0.33,13,0.1077
vehicle,RF,0.33,99,0.1259
letter,LogReg,0.05,42,0.4938
letter,LogReg,0.05,1,0.5149
letter,LogReg,0.05,7,0.4966
letter,LogReg,0.05,13,0.4964
letter,LogReg,0.05,99,0.5099
letter,LogReg,0.1,42,0.5515
letter,LogReg,0.1,1,0.5742
letter,LogReg,0.1,7,0.5493
letter,LogReg,0.1,13,0.5612
letter,LogReg,0.1,99,0.5594
letter,LogReg,0.2,42,0.5545
letter,LogReg,0.2,1,0.5634
letter,LogReg,0.2,7,0.5731
letter,LogReg,0.2,13,0.5648
letter,LogReg,0.2,99,0.5601
letter,LogReg,0.33,42,
letter,LogReg,0.33,1,0.2953
letter,LogReg,0.33,7,0.2963
letter,LogReg,0.33,13,0.0605
letter,LogReg,0.33,99,0.3792
letter,RF,0.05,42,0.0649
letter,RF,0.05,1,0.0649
letter,RF,0.05,7,0.0577
letter,RF,0.05,13,0.0593
letter,RF,0.05,99,0.0435
letter,RF,0.1,42,0.0783
letter,RF,0.1,1,0.0682
letter,RF,0.1,7,0.0645
letter,RF,0.1,13,0.0923
letter,RF,0.1,99,0.0865
letter,RF,0.2,42,0.087
letter,RF,0.2,1,0.0958
letter,RF,0.2,7,0.0861
letter,RF,0.2,13,0.1084
letter,RF,0.2,99,0.0855
letter,RF,0.33,42,
letter,RF,0.33,1,0.0814
letter,RF,0.33,7,0.0678
letter,RF,0.33,13,0.0367
letter,RF,0.33,99,0.0401
