dataset,classifier,seed,dF1@0.5,dF1@best,dPR-AUC_int,dPR-AUC_itr
SmellyCode++,RF,99,-0.0021,-0.0125,-0.0157,-0.0008
SmellyCode++,HistGB,42,0.029,-0.0042,-0.0041,0.0046
SmellyCode++,HistGB,1,0.0157,-0.0125,-0.0109,0.0002
SmellyCode++,HistGB,7,0.0387,-0.0079,-0.0003,-0.0049
SmellyCode++,HistGB,13,0.0223,-0.0046,-0.0099,0.003
SmellyCode++,HistGB,99,0.0186,0.0007,0.0018,0.0077
SmellyCode++,LinearSVC,42,0.055,0.0442,0.0287,-0.0024
SmellyCode++,LinearSVC,1,0.0566,0.0554,0.0292,-0.0033
SmellyCode++,LinearSVC,7,0.06,0.0553,0.0329,-0.0008
SmellyCode++,LinearSVC,13,0.0553,0.0655,0.0318,-0.0014
SmellyCode++,LinearSVC,99,0.0525,0.0528,0.0237,-0.001
ml-Codesmell,LogReg,42,0.3179,0.3105,0.4852,0.0036
ml-Codesmell,LogReg,1,0.2981,0.2716,0.463,0.0049
ml-Codesmell,LogReg,7,0.3086,0.3014,0.4887,-0.0007
ml-Codesmell,LogReg,13,0.3095,0.3035,0.4742,-0.0043
ml-Codesmell,LogReg,99,0.3079,0.2838,0.4674,-0.0004
ml-Codesmell,RF,42,0.0221,0.0034,0.0029,0.0012
ml-Codesmell,RF,1,0.0218,0.0032,0.0006,0.0
ml-Codesmell,RF,7,0.0261,0.0035,0.0005,0.0
ml-Codesmell,RF,13,0.0302,0.0045,0.001,0.0003
ml-Codesmell,RF,99,0.0132,0.0022,0.0008,0.0006
ml-Codesmell,HistGB,42,0.0012,-0.0003,-0.0004,-0.0007
ml-Codesmell,HistGB,1,0.0032,0.0002,0.0,0.0007
ml-Codesmell,HistGB,7,0.0044,0.0,0.0,0.0
ml-Codesmell,HistGB,13,0.0,-0.0002,-0.0,-0.0
ml-Codesmell,HistGB,99,0.0033,-0.0011,-0.0001,0.0
ml-Codesmell,LinearSVC,42,0.4336,0.2867,0.4287,-0.0003
ml-Codesmell,LinearSVC,1,0.4577,0.3048,0.4468,0.0013
ml-Codesmell,LinearSVC,7,0.4302,0.2777,0.4091,0.0001
ml-Codesmell,LinearSVC,13,0.3911,0.2749,0.4279,-0.0057
ml-Codesmell,LinearSVC,99,0.453,0.2981,0.4196,-0.0091
